###############################################################################
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# published at Apr 26, 2025 11:05:06 PM UTC
# published by kezod.xyz - Kezod Technologies
###############################################################################

50.116.31.0/24,US,US-TX,Richardson,
198.58.96.0/24,US,US-TX,Richardson,
198.58.97.0/24,US,US-TX,Richardson,
198.58.98.0/24,US,US-TX,Richardson,
198.58.99.0/24,US,US-TX,Richardson,
198.58.100.0/24,US,US-TX,Richardson,
198.58.102.0/24,US,US-TX,Richardson,
198.58.103.0/24,US,US-TX,Richardson,
198.58.104.0/24,US,US-TX,Richardson,
198.58.105.0/24,US,US-TX,Richardson,
198.58.106.0/24,US,US-TX,Richardson,
198.58.107.0/24,US,US-TX,Richardson,
198.58.109.0/24,US,US-TX,Richardson,
198.58.110.0/24,US,US-TX,Richardson,
198.58.111.0/24,US,US-TX,Richardson,
198.58.112.0/24,US,US-TX,Richardson,
198.58.113.0/24,US,US-TX,Richardson,
198.58.114.0/24,US,US-TX,Richardson,
198.58.115.0/24,US,US-TX,Richardson,
198.58.116.0/24,US,US-TX,Richardson,
198.58.117.0/24,US,US-TX,Richardson,
198.58.118.0/24,US,US-TX,Richardson,
198.58.119.0/24,US,US-TX,Richardson,
198.58.120.0/24,US,US-TX,Richardson,
198.58.121.0/24,US,US-TX,Richardson,
198.58.122.0/24,US,US-TX,Richardson,
198.58.123.0/24,US,US-TX,Richardson,
198.58.124.0/24,US,US-TX,Richardson,
198.58.125.0/24,US,US-TX,Richardson,
81.78.103.69/32,IO,,Diego Garcia,
89.102.40.37/32,IO,,Diego Garcia,
104.7.42.121/32,IO,,Diego Garcia,
90.251.229.227/32,IO,,Diego Garcia,
198.58.126.0/24,US,US-TX,Richardson,
198.58.127.0/24,US,US-TX,Richardson,
23.239.24.0/24,US,US-TX,Richardson,
23.239.25.0/24,US,US-TX,Richardson,
23.239.26.0/24,US,US-TX,Richardson,
23.239.27.0/24,US,US-TX,Richardson,
23.239.28.0/24,US,US-TX,Richardson,
23.239.29.0/24,US,US-TX,Richardson,
23.239.30.0/24,US,US-TX,Richardson,
23.239.31.0/24,US,US-TX,Richardson,
104.200.16.0/24,US,US-TX,Richardson,
104.200.17.0/24,US,US-TX,Richardson,
104.200.18.0/24,US,US-TX,Richardson,
104.200.19.0/24,US,US-TX,Richardson,
104.200.20.0/24,US,US-TX,Richardson,
104.200.21.0/24,US,US-TX,Richardson,
104.200.22.0/24,US,US-TX,Richardson,
104.200.23.0/24,US,US-TX,Richardson,
104.237.128.0/24,US,US-TX,Richardson,
104.237.129.0/24,US,US-TX,Richardson,
104.237.130.0/24,US,US-TX,Richardson,
104.237.131.0/24,US,US-TX,Richardson,
104.237.132.0/24,US,US-TX,Richardson,
104.237.133.0/24,US,US-TX,Richardson,
104.237.134.0/24,US,US-TX,Richardson,
104.237.135.0/24,US,US-TX,Richardson,
104.237.136.0/24,US,US-TX,Richardson,
104.237.137.0/24,US,US-TX,Richardson,
104.237.138.0/24,US,US-TX,Richardson,
104.237.139.0/24,US,US-TX,Richardson,
104.237.140.0/24,US,US-TX,Richardson,
104.237.141.0/24,US,US-TX,Richardson,
104.237.142.0/24,US,US-TX,Richardson,
104.237.143.0/24,US,US-TX,Richardson,
45.56.64.0/24,US,US-TX,Richardson,
45.56.65.0/24,US,US-TX,Richardson,
45.56.66.0/24,US,US-TX,Richardson,
45.56.67.0/24,US,US-TX,Richardson,
45.56.68.0/24,US,US-TX,Richardson,
45.56.69.0/24,US,US-TX,Richardson,
45.56.70.0/24,US,US-TX,Richardson,
45.56.71.0/24,US,US-TX,Richardson,
45.56.72.0/24,US,US-TX,Richardson,
45.56.73.0/24,US,US-TX,Richardson,
45.56.74.0/24,US,US-TX,Richardson,
45.56.75.0/24,US,US-TX,Richardson,
45.56.76.0/24,US,US-TX,Richardson,
45.56.77.0/24,US,US-TX,Richardson,
45.56.78.0/24,US,US-TX,Richardson,
45.56.79.0/24,US,US-TX,Richardson,
45.56.120.0/24,US,US-TX,Richardson,
45.56.121.0/24,US,US-TX,Richardson,
45.56.122.0/24,US,US-TX,Richardson,
45.56.123.0/24,US,US-TX,Richardson,
45.56.124.0/24,US,US-TX,Richardson,
45.56.125.0/24,US,US-TX,Richardson,
45.56.126.0/24,US,US-TX,Richardson,
45.56.127.0/24,US,US-TX,Richardson,
45.33.0.0/24,US,US-TX,Richardson,
45.33.1.0/24,US,US-TX,Richardson,
45.33.2.0/24,US,US-TX,Richardson,
45.33.3.0/24,US,US-TX,Richardson,
45.33.4.0/24,US,US-TX,Richardson,
45.33.5.0/24,US,US-TX,Richardson,
45.33.6.0/24,US,US-TX,Richardson,
45.33.7.0/24,US,US-TX,Richardson,
45.33.8.0/24,US,US-TX,Richardson,
45.33.9.0/24,US,US-TX,Richardson,
45.33.10.0/24,US,US-TX,Richardson,
45.33.11.0/24,US,US-TX,Richardson,
45.33.12.0/24,US,US-TX,Richardson,
45.33.13.0/24,US,US-TX,Richardson,
45.33.14.0/24,US,US-TX,Richardson,
45.33.15.0/24,US,US-TX,Richardson,
45.33.16.0/24,US,US-TX,Richardson,
45.33.17.0/24,US,US-TX,Richardson,
45.33.18.0/24,US,US-TX,Richardson,
45.33.19.0/24,US,US-TX,Richardson,
45.33.20.0/24,US,US-TX,Richardson,
45.33.21.0/24,US,US-TX,Richardson,
45.33.22.0/24,US,US-TX,Richardson,
45.33.23.0/24,US,US-TX,Richardson,
45.33.24.0/24,US,US-TX,Richardson,
45.33.25.0/24,US,US-TX,Richardson,
45.33.26.0/24,US,US-TX,Richardson,
45.33.27.0/24,US,US-TX,Richardson,
45.33.28.0/24,US,US-TX,Richardson,
45.33.29.0/24,US,US-TX,Richardson,
45.33.30.0/24,US,US-TX,Richardson,
45.33.31.0/24,US,US-TX,Richardson,
45.33.112.0/24,US,US-TX,Richardson,
45.33.113.0/24,US,US-TX,Richardson,
45.33.114.0/24,US,US-TX,Richardson,
45.33.115.0/24,US,US-TX,Richardson,
45.33.116.0/24,US,US-TX,Richardson,
45.33.117.0/24,US,US-TX,Richardson,
45.33.118.0/24,US,US-TX,Richardson,
